#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
1,5,,4,1,0,-9.22337E+18,6406,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,548,2444,IEWIN7,S-1-5-18,5/28/2019 10:13,,,c:\users\myuser\desktop\evtxsample\sysmon_lolbin_bohops_vshadow_exec.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5991,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5988,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5985,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5982,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5979,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5976,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5973,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5970,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,5967,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,324,2260,IEWIN7,S-1-5-18,5/27/2019 9:29,,,c:\users\myuser\desktop\evtxsample\discovery_sysmon_1_iis_pwd_and_config_discovery_appcmd.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
